Jahr;Temperatur Deutschland;CO2 Konzentration
1881;     7.31;285.91
1882;     8.34;284.45
1883;     7.88;284.15
1884;     8.57;283.65
1885;     7.74;281.58
1886;     8.02;283.53
1887;     6.95;283.18
1888;     6.85;283.62
1889;     7.38;286.84
1890;     7.31;284.00
1891;     7.43;287.13
1892;     7.50;288.05
1893;     7.91;285.57
1894;     8.13;283.16
1895;     7.31;286.63
1896;     7.58;287.17
1897;     7.95;285.35
1898;     8.50;286.65
1899;     8.09;285.05
1900;     8.35;288.76
1901;     7.64;287.16
1902;     7.17;286.66
1903;     8.35;291.56
1904;     8.36;289.33
1905;     7.95;287.77
1906;     8.29;292.46
1907;     7.80;289.49
1908;     7.47;288.12
1909;     7.35;294.34
1910;     8.41;292.34
1911;     9.05;290.92
1912;     7.86;295.17
1913;     8.53;295.09
1914;     8.52;293.49
1915;     7.91;296.16
1916;     8.45;294.22
1917;     7.54;295.61
1918;     8.53;295.99
1919;     7.32;299.02
1920;     8.63;298.48
1921;     9.00;301.50
1922;     7.19;297.87
1923;     7.99;298.36
1924;     7.53;301.30
1925;     8.32;300.70
1926;     8.74;301.92
1927;     8.04;303.85
1928;     8.35;304.61
1929;     7.36;301.88
1930;     8.76;304.69
1931;     7.55;304.84
1932;     8.33;306.84
1933;     7.62;305.62
1934;     9.54;305.74
1935;     8.42;308.26
1936;     8.38;307.11
1937;     8.59;308.35
1938;     8.60;306.32
1939;     8.30;308.30
1940;     6.63;307.41
1941;     7.16;311.07
1942;     7.28;310.83
1943;     8.88;310.38
1944;     8.29;309.77
1945;     8.98;312.37
1946;     8.38;312.36
1947;     8.51;310.94
1948;     9.05;312.26
1949;     9.14;311.61
1950;     8.60;311.57
1951;     8.72;309.69
1952;     7.94;312.83
1953;     8.94;312.18
1954;     7.70;312.73
1955;     7.54;314.71
1956;     6.84;315.34
1957;     8.58;315.34
1958;     8.21;315.34
1959;     9.03;315.97
1960;     8.41;316.91
1961;     8.94;317.64
1962;     7.15;318.45
1963;     7.10;318.99
1964;     8.13;319.62
1965;     7.48;320.04
1966;     8.51;321.38
1967;     8.89;322.16
1968;     8.15;323.04
1969;     7.75;324.62
1970;     7.71;325.68
1971;     8.43;326.32
1972;     7.82;327.45
1973;     8.21;329.68
1974;     8.82;330.18
1975;     8.93;331.11
1976;     8.47;332.04
1977;     8.67;333.83
1978;     7.79;335.40
1979;     7.72;336.84
1980;     7.63;338.75
1981;     8.19;340.11
1982;     8.90;341.45
1983;     9.04;343.05
1984;     7.97;344.65
1985;     7.42;346.12
1986;     7.93;347.42
1987;     7.44;349.19
1988;     9.06;351.57
1989;     9.47;353.12
1990;     9.49;354.39
1991;     8.35;355.61
1992;     9.37;356.45
1993;     8.47;357.10
1994;     9.70;358.83
1995;     8.90;360.82
1996;     7.20;362.61
1997;     8.89;363.73
1998;     9.06;366.70
1999;     9.49;368.38
2000;     9.87;369.55
2001;     9.02;371.14
2002;     9.56;373.28
2003;     9.38;375.80
2004;     8.94;377.52
2005;     8.99;379.80
2006;     9.54;381.90
2007;     9.85;383.79
2008;     9.48;385.60
2009;     9.18;387.43
2010;     7.85;389.90
2011;     9.64;391.65
2012;     9.09;393.85
2013;     8.71;396.52
2014;    10.33;398.65
2015;     9.94;400.83
2016;     9.55;404.24
2017;     9.58;406.55
2018;    10.45;408.52
